Designator,Mid X,Mid Y,Rotation,Layer
+,100.36,-95.0,180.0,top
-,100.36,-100.0,180.0,top
3.3V_2,140.15,-83.6275,0.0,top
3.3V,145.745,-81.1575,180.0,top
4.XV_2,131.35,-104.2225,0.0,top
4.XV,136.96,-105.24,270.0,top
5V,129.0,-113.0575,0.0,top
C1,106.0025,-114.8575,270.0,top
C10,183.03,-83.8975,0.0,top
C11,137.85,-114.2725,270.0,top
C12,134.38,-113.7625,270.0,top
C13,154.391,-87.5025,90.0,top
C14,150.38,-122.9675,0.0,top
C15,145.57,-120.5125,270.0,top
C16,147.17,-122.9675,180.0,top
C17,163.7,-97.4975,90.0,top
C18,158.21,-112.6475,90.0,top
C19,155.16,-117.2575,0.0,top
C2,100.945,-90.3925,90.0,top
C20,140.88,-95.5175,180.0,top
C21,103.15,-120.4475,270.0,top
C22,140.14,-86.695817,270.0,top
C3,123.0925,-114.8775,270.0,top
C4,152.3725,-104.2075,90.0,top
C5,155.7375,-104.3025,90.0,top
C6,102.83,-86.6475,90.0,top
C7,141.78,-102.5525,90.0,top
C8,141.56,-106.4625,270.0,top
C9,100.8,-86.6375,90.0,top
D1,170.66,-118.2675,0.0,top
D2,148.7275,-120.1125,180.0,top
D3,131.33,-109.9225,270.0,top
D4,134.39,-109.8425,270.0,top
DC1,168.42,-125.26,90.0,top
F1,137.96,-123.7875,90.0,top
F2,177.0,-109.1375,0.0,top
F3,177.0,-93.8775,0.0,top
GND_4,131.35,-101.8125,0.0,top
GND_3,160.7,-118.3775,0.0,top
GND_2,132.17,-83.6275,0.0,top
GND,129.0,-116.19,0.0,top
H1,98.1,-80.3275,0.0,top
H2,190.1,-80.3275,0.0,top
H3,98.1,-132.8275,0.0,top
H4,190.1,-132.9775,0.0,top
INPUT,163.95,-118.3775,0.0,top
J1,189.7,-114.1375,90.0,top
J2,189.7,-98.8775,90.0,top
J3,135.2,-79.1775,90.0,top
J4,114.48,-107.62,270.0,top
L1,143.57,-111.4325,270.0,top
L2,147.01,-88.9575,90.0,top
MODE,100.36,-105.0,180.0,top
POWER,100.36,-115.0,180.0,top
Q1,99.99,-124.7075,270.0,top
R1,102.85,-90.3875,270.0,top
R10,100.2,-121.5975,0.0,top
R11,103.24,-125.0175,270.0,top
R12,151.08,-125.8675,90.0,top
R13,146.44,-125.8675,90.0,top
R14,149.57,-125.8675,90.0,top
R15,147.99,-125.8675,90.0,top
R16,180.14,-115.7775,0.0,top
R17,180.23,-100.4475,0.0,top
R18,160.87,-114.2275,0.0,top
R19,160.94,-110.9775,0.0,top
R2,166.86,-110.4375,90.0,top
R20,136.96,-107.71,270.0,top
R21,136.74,-92.5775,270.0,top
R22,138.11,-92.5775,270.0,top
R23,139.64,-92.5775,90.0,top
R24,149.23,-81.09,180.0,top
R25,143.51,-81.5775,90.0,top
R3,122.93,-111.98,0.0,top
R4,146.28,-101.5525,180.0,top
R5,129.5625,-86.9275,270.0,top
R6,131.19,-86.9275,270.0,top
R7,145.11,-98.2075,0.0,top
R8,146.28,-99.6825,0.0,top
R9,100.2,-119.7475,180.0,top
STP1,163.73,-80.45,0.0,top
STP2,168.73,-80.45,0.0,top
STRIP,100.36,-110.0,180.0,top
SW4,110.1825,-114.1775,0.0,top
SW5,118.9525,-114.1775,180.0,top
TEMP,158.73,-80.45,0.0,top
U2,146.26,-105.1225,180.0,top
U3,183.04,-80.2575,180.0,top
U4,115.02,-93.4275,0.0,top
U5,159.55,-86.6575,0.0,top
U6,155.23,-112.8375,180.0,top
U8,141.53,-92.9475,270.0,top
U9,120.7,-126.8675,0.0,top
USB1,148.7675,-131.315,0.0,top
WIFI,153.73,-80.45,0.0,top
